      ,InitSim              ,DlgSim              ,QuestMark,Dup  ,What ,Where,When ,Why  ,Who  ,How  ,AbsPos,NormPos            ,Len,LenUni,LenStem,Starter,Thank,ExMark,Feedback,SenScr(Neg),SenScr(Neu),SenScr(Pos),Lex(Pos),Lex(Neg),label
0_0   ,1.0000000000000009   ,0.08041652394366228 ,False    ,False,False,False,False,False,False,False,0     ,0.0                ,25 ,23    ,23     ,True   ,False,False ,False   ,0.138      ,0.692      ,0.169      ,0       ,2       ,OQ
0_1   ,0.052574918634121726 ,0.9559753732489754  ,False    ,False,False,False,False,False,False,False,1     ,0.5                ,53 ,45    ,45     ,False  ,False,False ,False   ,0.0        ,0.958      ,0.042      ,2       ,0       ,PA
0_2   ,0.10276542713445512  ,0.29344690446737426 ,False    ,False,False,False,False,False,False,False,2     ,1.0                ,7  ,7     ,7      ,True   ,False,False ,False   ,0.0        ,0.805      ,0.195      ,0       ,1       ,PF
1_0   ,1.0                  ,0.22286329436939697 ,False    ,False,False,False,True ,False,True ,False,0     ,0.0                ,49 ,41    ,39     ,True   ,False,False ,False   ,0.041      ,0.795      ,0.164      ,3       ,5       ,NF
1_1   ,0.22865081441916524  ,0.9608743968085582  ,False    ,False,False,True ,False,False,False,False,1     ,0.25               ,205,132   ,126    ,False  ,True ,False ,False   ,0.007      ,0.846      ,0.147      ,7       ,3       ,PA PF
1_2   ,0.08726896311858492  ,0.33860218462739733 ,False    ,False,False,False,False,False,False,False,2     ,0.5                ,11 ,10    ,9      ,True   ,True ,False ,False   ,0.09       ,0.569      ,0.341      ,2       ,1       ,PF
1_3   ,0.08382472559686426  ,0.5343211213361797  ,False    ,False,False,False,False,False,False,False,3     ,0.75               ,22 ,20    ,18     ,False  ,True ,False ,False   ,0.0        ,0.66       ,0.34       ,5       ,1       ,PF
1_4   ,0.017116386584195037 ,0.29994536566765684 ,False    ,False,True ,False,False,False,False,False,4     ,1.0                ,20 ,19    ,19     ,False  ,False,True  ,False   ,0.227      ,0.707      ,0.066      ,1       ,2       ,NF
2_0   ,1.0                  ,0.19343988880847357 ,True     ,False,True ,False,True ,False,False,True ,0     ,0.0                ,38 ,28    ,27     ,True   ,False,False ,False   ,0.077      ,0.923      ,0.0        ,3       ,1       ,OQ
2_1   ,0.11357200782225846  ,0.8280920893274873  ,False    ,True ,True ,False,True ,False,False,False,1     ,0.25               ,25 ,20    ,20     ,False  ,False,False ,False   ,0.0        ,0.89       ,0.11       ,2       ,0       ,IR
